                             DECLARE       	MODULE        	ID            	SEMICOL       	DRIVERDEF     	DRIVER        	PROGRAM       	DRIVERENDDEF  	DEF           	ENDDEF        	TAKES         	INPUT         	SQBO          	SQBC          	RETURNS       	COLON         	COMMA         	INTEGER       	REAL          	BOOLEAN       	ARRAY         	OF            	RANGEOP       	START         	END           	GET_VALUE     	BO            	BC            	PRINT         	NUM           	RNUM          	TRUE          	FALSE         	ASSIGNOP      	PLUS          	MINUS         	USE           	WITH          	PARAMETERS    	MUL           	DIV           	AND           	OR            	LT            	LE            	GT            	GE            	EQ            	NE            	SWITCH        	CASE          	BREAK         	DEFAULT       	FOR           	IN            	WHILE         	dollar        	epsilon
type                         	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-2            	21            	22            	23            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
oPList2                      	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	15            	-1            	-1            	14            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	15
arrRange                     	-1            	-1            	20            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	20            	-1            	-1            	-1            	-1            	20            	20            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
signedIndex                  	-1            	-1            	49            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	49            	-1            	-1            	-1            	-1            	49            	49            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
statements                   	25            	-1            	25            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	25            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	26            	25            	-1            	-1            	25            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	25            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	25            	-1            	26            	-1            	25            	-1            	25            	-1            	26
statement                    	29            	-1            	28            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	28            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	27            	-1            	-1            	27            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	28            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	30            	-1            	-2            	-1            	31            	-1            	31            	-1            	-1
ioStmt                       	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	32            	-1            	-1            	33            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
simpleStmt                   	-2            	-1            	43            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	42            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	42            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
declareStmt                  	120           	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
conditionalStmt              	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	121           	-1            	-2            	-1            	-2            	-1            	-2            	-1            	-1
iterativeStmt                	-2            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-2            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	-2            	-1            	129           	-1            	130           	-1            	-1
varPrint                     	-1            	-1            	34            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-2            	-1            	35            	36            	37            	37            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1            	-1
